Prowess company name,Short name,NIC code,Incorporation year,NSE symbol
20 MICRONS LTD.,20 MICRONS,8,1987,20MICRONS
A A A TECHNOLOGIES LTD.,A A A TECHNOLOGIES,70200,2000,AAATECH
A B C INDIA LTD.,NA,5224,1972,NA
STARLOG ENTERPRISES LTD.,A B G HEAVY INDS.,77,1983,ABGHEAVY
A B M INTERNATIONAL LTD.,A B M INTERNATIONAL,46909,1983,ABMINTLLTD
A B M KNOWLEDGEWARE LTD.,NA,62013,1993,NA
A B S MARINE SERVICES LTD.,NA,501,1992,ABSMARINE
A C E EDUTREND LTD.,NA,85,1993,NA
A C I INFOCOM LTD.,ACI INFOCOM,41001,1982,NA
CEINSYS TECH LTD.,A D C C INFOCAD,71100,1998,NA
A D F FOODS LTD.,ADF,10799,1990,ADFFOODS
A D S DIAGNOSTIC LTD.,A D S DIAGNOSTIC,46596,1984,NA
A F ENTERPRISES LTD.,A F ENTERPRISES,222,1983,NA
A I A ENGINEERING LTD.,A I A ENGG.,24319,1991,AIAENG
KANORIA ENERGY & INFRASTRUCTURE LTD.,A INFRASTRUCTURE,23953,1980,NA
A K CAPITAL SERVICES LTD.,NA,649,1993,NA
A K SPINTEX LTD.,A K SPINTEX,13124,1994,NA
A N S INDS. LTD.,A N S AGRO INDS.,41001,1994,NA
A P M INDUSTRIES LTD.,NA,13114,1973,NA
A R C FINANCE LTD.,A R C FINANCE,64990,1982,NA
DISH T V INDIA LTD.,DISH TV,61103,1988,DISHTV
A S K AUTOMOTIVE LTD.,A S K AUTOMOTIVE,29209,1988,ASKAUTOLTD
A S M TECHNOLOGIES LTD.,NA,62013,1992,NA
A T N INTERNATIONAL LTD.,NA,77,1983,ATNINTER
A T V PROJECTS INDIA LTD.,NA,42209,1987,ATVPROJ
TAVERNIER RESOURCES LTD.,NA,46697,1994,NA
A V I PRODUCTS INDIA LTD.,NA,471,1989,NA
A V I POLYMERS LTD.,A V I POLYMERS,46691,1993,NA
A V T NATURAL PRODUCTS LTD.,AVT,2303,1986,AVTNPL
JAINEX AAMCOL LTD.,NA,28221,1947,NA
